date,total_registered,total_eligible,total_pledged,combined_total,delta_registered,delta_combined
2026-01-14,18838070.427999996,17376815.759999998,1954980.629,36214886.18799999,-444744.78300000355,-80956.21999999881
2026-01-15,18823796.927999996,17309104.21,1930822.1520000002,36132901.138,-14273.5,-81985.04999999702
2026-01-16,18864396.637999997,17271504.49,1930822.1520000002,36135901.12799999,40599.710000000894,2999.9899999946356
2026-01-17,18864396.637999997,17271504.49,1930822.1520000002,36135901.12799999,0.0,0.0
2026-01-18,18864396.637999997,17271504.49,1930822.1520000002,36135901.12799999,0.0,0.0
2026-01-19,18864396.637999997,17271504.49,1930822.1520000002,36135901.12799999,0.0,0.0
2026-01-20,18864396.637999997,17271504.49,1925999.502,36135901.12799999,0.0,0.0
2026-01-21,18864396.637999997,17278483.186,1925999.502,36142879.824,0.0,6978.696000009775
2026-01-22,18846066.229,17298213.595,1911959.82,36144279.824,-18330.408999998122,1400.0
2026-01-23,18845680.416999996,17298599.407,1675095.299,36144279.824,-385.812000002712,0.0
2026-01-24,18845680.416999996,17298599.407,1675095.299,36144279.824,0.0,0.0
2026-01-25,18845680.416999996,17298599.407,1675095.299,36144279.824,0.0,0.0
2026-01-26,18847080.416999996,17094421.907,1675095.299,35941502.324,1400.0,-202777.5
2026-01-27,18833072.201999996,17108430.122,1602770.1580000003,35941502.324,-14008.214999999851,0.0
2026-01-28,18833072.201999996,17044128.122,1595825.6409999998,35877200.324,0.0,-64302.0
2026-01-29,18785246.159999996,17091954.164,1578834.9810000001,35877200.324,-47826.041999999434,0.0
2026-01-30,19038541.229,16710055.095,1568117.821,35748596.324,253295.069000002,-128604.0
2026-01-31,19038541.229,16710055.095,1568117.821,35748596.324,0.0,0.0
2026-02-01,19038541.229,16710055.095,1568117.821,35748596.324,0.0,0.0
2026-02-02,18995040.926000003,16630313.077999998,1580339.873,35625354.004,-43500.30299999565,-123242.3200000003
2026-02-03,18962351.559,16793181.844,1647430.7119999998,35755533.403,-32689.367000002414,130179.39899999648
2026-02-04,18896756.103,16794475.299999997,1841387.9350000003,35691231.403,-65595.45600000024,-64302.0
2026-02-05,18792604.787,16698903.397,1834196.9139999999,35491508.184,-104151.31599999964,-199723.21899999678
2026-02-06,18370216.368,16999889.111,1834196.9139999999,35370105.479,-422388.41899999976,-121402.70499999821
2026-02-07,18370216.368,16999889.111,1834196.9139999999,35370105.479,0.0,0.0
2026-02-08,18370216.368,16999889.111,1834196.9139999999,35370105.479,0.0,0.0
2026-02-09,18258988.991,17035123.651,1834196.9139999999,35294112.642000005,-111227.37700000033,-75992.8369999975
